Candidate_ID,Career,Skills,Education,Experience_Level,Experience_Years,Certification,RIASEC_Realistic,RIASEC_Investigative,RIASEC_Artistic,RIASEC_Social,RIASEC_Enterprising,RIASEC_Conventional
C0001,VLSI Engineer,"Digital Logic Design, DFT (Design for Testability), Static Timing Analysis (STA), Verilog, CMOS Technology, Logic Synthesis, SystemVerilog, VHDL, RTL Design",B.E./B.Tech Electronics and Communication Engineering,Entry-level (0-1 yrs / Fresher),0.1,None,3.81,4.4,2.18,2.35,2.03,3.22
C0002,VLSI Engineer,"FPGA Design, Synopsys Design Compiler, Verilog, Cadence Virtuoso, CMOS Technology, Analog IC Design, RTL Design, Physical Design, SystemVerilog, ModelSim, VHDL, Logic Synthesis, Digital Logic Design",B.E./B.Tech Electronics and Communication Engineering,Senior (6-10 yrs),6.3,ASIC Verification Certification,4.17,3.91,2.34,1.4,2.27,3.18
C0003,VLSI Engineer,"Digital Logic Design, Verilog, Low Power Design, ASIC Design, VHDL, RTL Design, Place and Route, DFT (Design for Testability), CMOS Technology, FPGA Design",B.E. Electronics Engineering,Entry-level (0-1 yrs / Fresher),0.6,None,3.61,4.34,1.69,1.87,2.84,3.02
C0004,VLSI Engineer,"Digital Logic Design, SystemVerilog, Low Power Design, RTL Design, DFT (Design for Testability), VHDL, Verilog, CMOS Technology, ASIC Design, UVM Verification",M.S. VLSI and Embedded Systems,Senior (6-10 yrs),6.6,None,3.91,4.91,1.96,2.33,2.62,3.06
C0005,VLSI Engineer,"CMOS Technology, ModelSim, Timing Closure, Signal Integrity, Digital Logic Design, ASIC Design, Cadence Virtuoso, RTL Design, VHDL, Verilog",M.S. VLSI and Embedded Systems,Mid-level (3-6 yrs),5.9,VLSI Design Certification (VSD/IIT),3.82,4.22,2.5,1.36,2.34,2.94
C0006,VLSI Engineer,"Semiconductor Physics, Digital Logic Design, Verilog, Xilinx Vivado, Analog IC Design, Low Power Design, Synopsys Design Compiler, VHDL, RTL Design, SystemVerilog, CMOS Technology",M.Tech VLSI Design,Entry-level (0-1 yrs / Fresher),0.6,None,4.81,4.51,2.55,1.28,2.25,3.43
C0007,VLSI Engineer,"FPGA Design, Verilog, ASIC Design, VHDL, Digital Logic Design, Semiconductor Physics, Logic Synthesis, CMOS Technology, Timing Closure, Low Power Design, ModelSim, Signal Integrity, RTL Design",B.E. Electronics Engineering,Senior (6-10 yrs),10.0,ASIC Verification Certification,3.45,4.58,2.21,2.0,2.02,3.75
C0008,VLSI Engineer,"CMOS Technology, DFT (Design for Testability), Analog IC Design, FPGA Design, SystemVerilog, RTL Design, UVM Verification, VHDL, Digital Logic Design, Verilog",M.Tech VLSI Design,Junior (1-3 yrs),2.4,None,3.92,4.85,1.85,1.9,2.1,2.99
C0009,VLSI Engineer,"Xilinx Vivado, Verilog, CMOS Technology, RTL Design, ASIC Design, SystemVerilog, Synopsys Design Compiler, Static Timing Analysis (STA), Physical Design, Analog IC Design, Digital Logic Design, VHDL",B.E./B.Tech Electronics and Communication Engineering,Senior (6-10 yrs),9.2,VLSI Design Certification (VSD/IIT),5.0,4.88,2.54,1.0,3.0,2.95
C0010,VLSI Engineer,"Low Power Design, CMOS Technology, VHDL, Timing Closure, Semiconductor Physics, Static Timing Analysis (STA), Digital Logic Design, RTL Design, Verilog, ModelSim",M.S. VLSI and Embedded Systems,Senior (6-10 yrs),6.6,ASIC Verification Certification,3.93,4.54,1.99,1.66,2.25,3.42
C0011,VLSI Engineer,"Timing Closure, SystemVerilog, RTL Design, Synopsys Design Compiler, ASIC Design, CMOS Technology, Verilog, Semiconductor Physics, Digital Logic Design, FPGA Design, Logic Synthesis, VHDL",M.S. VLSI and Embedded Systems,Mid-level (3-6 yrs),5.8,None,3.73,4.1,1.98,2.01,2.03,2.95
C0012,VLSI Engineer,"Xilinx Vivado, Static Timing Analysis (STA), Verilog, SystemVerilog, VHDL, RTL Design, CMOS Technology, Digital Logic Design, ASIC Design",B.E. Electronics Engineering,Mid-level (3-6 yrs),3.5,ASIC Verification Certification,3.0,3.64,1.97,1.76,2.44,2.99
C0013,VLSI Engineer,"Verilog, Digital Logic Design, Cadence Virtuoso, Xilinx Vivado, CMOS Technology, Logic Synthesis, Static Timing Analysis (STA), RTL Design, VHDL",M.Tech VLSI Design,Mid-level (3-6 yrs),4.5,ASIC Verification Certification,4.54,3.97,2.35,2.03,2.29,3.33
C0014,VLSI Engineer,"RTL Design, Digital Logic Design, CMOS Technology, Logic Synthesis, VHDL, Analog IC Design, Xilinx Vivado, Verilog, Semiconductor Physics, Synopsys Design Compiler",M.S. VLSI and Embedded Systems,Junior (1-3 yrs),1.1,ASIC Verification Certification,4.47,3.98,2.55,1.14,2.38,3.59
C0015,VLSI Engineer,"Cadence Virtuoso, Analog IC Design, CMOS Technology, Verilog, Xilinx Vivado, VHDL, Low Power Design, RTL Design, Digital Logic Design",M.S. VLSI and Embedded Systems,Junior (1-3 yrs),1.5,VLSI Design Certification (VSD/IIT),3.82,4.48,1.74,1.85,2.62,3.12
C0016,VLSI Engineer,"Verilog, ModelSim, SystemVerilog, Digital Logic Design, Physical Design, DFT (Design for Testability), RTL Design, Synopsys Design Compiler, VHDL, CMOS Technology",B.E./B.Tech Electronics and Communication Engineering,Entry-level (0-1 yrs / Fresher),0.9,ASIC Verification Certification,4.34,5.0,1.98,1.99,1.71,3.56
C0017,VLSI Engineer,"Digital Logic Design, Static Timing Analysis (STA), Low Power Design, RTL Design, VHDL, Physical Design, ModelSim, Place and Route, Timing Closure, Verilog, CMOS Technology",B.E. Electronics Engineering,Mid-level (3-6 yrs),5.0,VLSI Design Certification (VSD/IIT),3.84,4.07,1.85,2.18,2.03,3.49
C0018,VLSI Engineer,"Digital Logic Design, VHDL, Physical Design, Signal Integrity, Analog IC Design, Verilog, UVM Verification, Low Power Design, CMOS Technology, RTL Design",B.E. Electronics Engineering,Senior (6-10 yrs),7.8,None,3.19,4.35,2.63,1.64,2.12,3.03
C0019,VLSI Engineer,"Signal Integrity, FPGA Design, RTL Design, Semiconductor Physics, CMOS Technology, UVM Verification, Static Timing Analysis (STA), Cadence Virtuoso, VHDL, DFT (Design for Testability), Digital Logic Design, Timing Closure, Verilog",M.S. VLSI and Embedded Systems,Senior (6-10 yrs),7.0,VLSI Design Certification (VSD/IIT),4.52,3.9,2.52,1.34,2.44,4.01
C0020,VLSI Engineer,"Verilog, VHDL, RTL Design, ModelSim, CMOS Technology, Digital Logic Design, ASIC Design, Xilinx Vivado, Low Power Design, Semiconductor Physics, Timing Closure, DFT (Design for Testability), FPGA Design",M.Tech VLSI Design,Senior (6-10 yrs),7.8,None,4.07,4.13,2.08,1.35,2.33,3.73
C0021,VLSI Engineer,"Synopsys Design Compiler, Timing Closure, CMOS Technology, Verilog, UVM Verification, VHDL, DFT (Design for Testability), Logic Synthesis, Digital Logic Design, ASIC Design, RTL Design",B.E. Electronics Engineering,Senior (6-10 yrs),7.7,None,4.1,4.06,2.12,1.0,3.12,3.4
C0022,VLSI Engineer,"Signal Integrity, ModelSim, Verilog, CMOS Technology, Semiconductor Physics, RTL Design, VHDL, SystemVerilog, Digital Logic Design, Cadence Virtuoso, Analog IC Design, Physical Design, Synopsys Design Compiler",B.E. Electronics Engineering,Senior (6-10 yrs),8.9,None,4.88,3.86,1.15,1.61,1.81,2.98
C0023,VLSI Engineer,"FPGA Design, Low Power Design, Xilinx Vivado, Cadence Virtuoso, VHDL, RTL Design, Digital Logic Design, CMOS Technology, Verilog",M.S. VLSI and Embedded Systems,Mid-level (3-6 yrs),5.3,None,3.9,4.57,2.49,1.86,2.67,3.3
