job_title,required_skills,skill_count
Data Scientist,python | machine learning | statistics | sql | deep learning | data visualization | pandas | numpy | scikit-learn | feature engineering | r | tableau | jupyter notebook | data cleaning | matplotlib | seaborn | xgboost | model deployment | hypothesis testing | big data,20
Machine Learning Engineer,python | machine learning | deep learning | pytorch | tensorflow | mlops | scikit-learn | feature engineering | docker | kubernetes | cloud | statistics | data pipelines | model evaluation | git | linux | rest api | numpy | pandas | spark,20
AI Engineer,python | llms | deep learning | pytorch | prompt engineering | langchain | vector databases | rag | fine tuning | transformers | hugging face | openai api | mlops | docker | cloud | git | nlp | machine learning | fastapi | linux,20
Data Analyst,sql | excel | power bi | data visualization | statistics | python | tableau | pandas | data cleaning | google analytics | looker | business acumen | communication | pivot tables | etl | r | power query | dax | storytelling with data | google sheets,20
Data Engineer,python | sql | apache spark | apache kafka | apache airflow | data pipelines | cloud | data warehousing | dbt | docker | git | linux | snowflake | nosql | hadoop | etl | pandas | scala | redshift | bigquery,20
MLOps Engineer,python | mlops | docker | kubernetes | cloud | ci/cd | machine learning | mlflow | apache airflow | model monitoring | feature stores | git | linux | terraform | bash | prometheus | grafana | dvc | kubeflow | bentoml,20
Database Administrator,sql | database design | postgresql | performance tuning | backup recovery | linux | mysql | mongodb | replication | indexing | oracle | redis | stored procedures | bash | python | cloud | high availability | data modeling | security | partitioning,20
Quantitative Analyst,python | statistics | mathematics | financial modeling | machine learning | r | sql | time series analysis | monte carlo simulation | risk management | excel | stochastic calculus | bloomberg terminal | vba | derivatives | pandas | numpy | probability theory | optimization | portfolio management,20
Business Intelligence Developer,sql | power bi | data modeling | data warehousing | tableau | excel | etl | python | dax | azure synapse | ssrs | olap | data governance | mdx | looker | sap bi | qlikview | google data studio | data quality | reporting,20
NLP Engineer,python | nlp | deep learning | transformers | hugging face | pytorch | text preprocessing | llms | machine learning | statistics | nltk | spacy | bert | gpt | tokenization | named entity recognition | sentiment analysis | word embeddings | tf-idf | onnx,20
Computer Vision Engineer,python | computer vision | deep learning | pytorch | opencv | cnns | image processing | tensorflow | yolo | mathematics | object detection | image segmentation | 3d vision | data augmentation | transfer learning | tensorrt | cuda | ros | point cloud | gans,20
Frontend Developer,html | css | javascript | react | typescript | responsive design | git | rest api | testing | next.js | redux | webpack | sass | graphql | vue.js | angular | accessibility | performance optimization | web security | pwa,20
Backend Developer,python | node.js | sql | rest api | system design | docker | git | redis | microservices | linux | java | spring boot | postgresql | mongodb | kafka | graphql | authentication | websockets | caching | message queues,20
Fullstack Developer,javascript | react | node.js | sql | rest api | html | css | git | typescript | docker | mongodb | testing | next.js | linux | authentication | redis | graphql | websockets | ci/cd | cloud,20
React Developer,react | javascript | typescript | html | css | redux | rest api | git | testing | next.js | react hooks | context api | jest | react query | styled components | graphql | webpack | performance optimization | storybook | accessibility,20
Python Developer,python | django | flask | fastapi | sql | rest api | git | docker | testing | linux | celery | redis | postgresql | sqlalchemy | pytest | pandas | numpy | asyncio | pydantic | cloud,20
Java Developer,java | spring boot | sql | rest api | microservices | git | maven | junit | docker | design patterns | hibernate | kafka | cloud | kubernetes | multithreading | spring security | redis | gradle | jpa | reactive programming,20
PHP Developer,php | laravel | mysql | html | css | javascript | rest api | git | wordpress | linux | composer | blade templates | eloquent orm | phpunit | redis | docker | vue.js | api authentication | queue jobs | caching,20
.NET Developer,c# | .net | asp.net | sql | rest api | entity framework | azure | git | microservices | docker | linq | wpf | blazor | signalr | unit testing | dependency injection | design patterns | ci/cd | kubernetes | grpc,20
WordPress Developer,wordpress | php | html | css | javascript | mysql | theme development | plugin development | woocommerce | seo basics | elementor | acf | rest api | git | performance optimization | security hardening | page builders | multisite | gutenberg | cdn,20
GraphQL Developer,graphql | javascript | node.js | typescript | rest api | sql | apollo | react | git | docker | schema design | resolvers | authentication | dataloader | subscriptions | federation | testing | postgresql | mongodb | redis,20
Blockchain Developer,solidity | smart contracts | javascript | web3.js | cryptography | ethereum | python | hardhat | defi | git | truffle | ethers.js | ipfs | nfts | rust | layer 2 solutions | cross-chain protocols | security auditing | tokenomics | erc standards,20
DevOps Engineer,linux | docker | kubernetes | ci/cd | cloud | terraform | bash | git | monitoring | ansible | prometheus | grafana | jenkins | github actions | helm | nginx | elk stack | security | load balancing | service mesh,20
Cloud Engineer,cloud | terraform | docker | kubernetes | linux | networking | python | ci/cd | serverless | iam | vpc | cdn | cost optimization | ansible | monitoring | load balancing | dns | auto scaling | cloud security | multi-cloud,20
Site Reliability Engineer,linux | python | monitoring | kubernetes | docker | incident management | cloud | distributed systems | slo/sla | prometheus | grafana | chaos engineering | automation | bash | git | networking | on-call practices | capacity planning | postmortem | runbooks,20
AWS Solutions Architect,aws | cloud architecture | terraform | networking | security | docker | kubernetes | linux | cost optimization | python | well-architected framework | migration | high availability | disaster recovery | serverless | cloudformation | ecs/eks | rds | s3 | lambda,20
Systems Administrator,linux | windows server | networking | active directory | bash | virtualization | backup recovery | powershell | cloud | monitoring | dns | dhcp | nfs/smb | ldap | email servers | vmware | hyper-v | patch management | capacity planning | security,20
Cybersecurity Analyst,networking | linux | security fundamentals | incident response | siem | python | vulnerability assessment | firewalls | cryptography | cloud security | threat intelligence | log analysis | ids/ips | owasp | penetration testing | malware analysis | forensics | compliance | risk assessment | security auditing,20
Penetration Tester,ethical hacking | networking | linux | python | web app security | metasploit | burp suite | owasp | kali linux | vulnerability assessment | social engineering | bash | wireshark | nmap | report writing | mobile security | cloud security | active directory attacks | exploit development | red team operations,20
Cloud Security Engineer,cloud security | cloud | iam | security fundamentals | networking | terraform | compliance | python | linux | siem | zero trust | cspm | container security | encryption | dlp | casb | threat detection | security automation | devsecops | incident response,20
SOC Analyst,siem | incident response | networking | threat intelligence | security fundamentals | linux | log analysis | malware analysis | firewalls | python | wireshark | vulnerability scanning | ioc analysis | playbook development | cloud security | edr | osint | forensics | ticketing systems | communication,20
Application Security Engineer,owasp | secure code review | web app security | python | javascript | penetration testing | ci/cd security | cryptography | docker | git | sast/dast | threat modeling | api security | authentication | authorization | supply chain security | fuzzing | bug bounty | security architecture | sdlc security,20
Android Developer,kotlin | android sdk | jetpack compose | rest api | mvvm architecture | firebase | git | java | testing | coroutines | room database | retrofit | dagger/hilt | navigation component | workmanager | notifications | google play deployment | material design | proguard | ci/cd,20
iOS Developer,swift | xcode | swiftui | uikit | rest api | core data | git | testing | concurrency | combine | alamofire | cocoapods/spm | push notifications | app store deployment | core location | avfoundation | cloudkit | arkit | in-app purchase | testflight,20
Flutter Developer,flutter | dart | rest api | state management | firebase | git | ui/ux design | testing | platform channels | animations | riverpod | bloc pattern | sqlite | push notifications | app store deployment | responsive layouts | clean architecture | ci/cd | flavors | internationalization,20
React Native Developer,react native | javascript | react | rest api | typescript | redux | firebase | git | testing | native modules | expo | navigation | asyncstorage | push notifications | app store deployment | animations | debugging | performance optimization | ci/cd | deep linking,20
UI/UX Designer,figma | ui design | ux research | prototyping | user testing | wireframing | design systems | typography | color theory | accessibility | user journey mapping | a/b testing | information architecture | interaction design | motion design | adobe xd | sketch | usability testing | persona creation | design thinking,20
Graphic Designer,adobe photoshop | adobe illustrator | typography | color theory | layout design | brand identity | figma | adobe indesign | adobe after effects | motion graphics | print design | illustration | packaging design | photography | digital marketing | social media design | icon design | logo design | mockup design | presentation design,20
Product Designer,figma | ui design | ux research | design systems | prototyping | user journey mapping | a/b testing | product strategy | communication | html/css | data analysis | stakeholder management | design sprints | accessibility | motion design | user flows | competitive analysis | metrics | sketch | invision,20
Product Manager,product strategy | roadmap planning | user research | agile | data analysis | stakeholder management | a/b testing | sql | jira | okrs | customer interviews | prioritization | go-to-market strategy | competitive analysis | communication | wireframing | feature scoping | kpis | sprint planning | market research,20
Scrum Master,scrum | agile | communication | facilitation | leadership | conflict resolution | jira | kanban | coaching | sprint planning | retrospectives | risk management | confluence | reporting | servant leadership | impediment removal | team building | velocity tracking | burn-down charts | safe framework,20
Business Analyst,requirements gathering | data analysis | communication | sql | process mapping | excel | agile | power bi | uml diagrams | stakeholder management | bpmn | use case modeling | gap analysis | change management | visio | swot analysis | test case review | documentation | presentation skills | risk analysis,20
Technical Project Manager,project management | agile | risk management | stakeholder management | communication | technical background | jira | budgeting | ms project | reporting | waterfall | resource planning | scope management | change management | quality assurance | confluence | schedule management | contract management | issue tracking | leadership,20
IT Manager,it leadership | budgeting | vendor management | networking | security fundamentals | communication | cloud | itil | risk management | strategic planning | team management | sla management | asset management | disaster recovery | compliance | procurement | performance management | change management | capacity planning | it governance,20
CTO,technical leadership | system architecture | team building | strategic planning | cloud | communication | agile | budget management | security | product strategy | technology roadmap | innovation | recruitment | stakeholder management | mergers & acquisitions | engineering culture | metrics | vendor management | regulatory compliance | r&d management,20
Software Architect,system design | microservices | design patterns | cloud | api design | sql | security | performance optimization | technical leadership | event-driven architecture | distributed systems | message queues | nosql | domain-driven design | cqrs | service mesh | observability | database design | containerization | documentation,20
QA Engineer,manual testing | test case design | automation testing | python | selenium | api testing | git | ci/cd | postman | performance testing | cypress | playwright | jmeter | bdd | test planning | bug reporting | agile | sql | mobile testing | security testing,20
Game Developer,unity | c# | game design | physics simulation | 3d modeling | animation | shader programming | git | c++ | unreal engine | level design | audio design | multiplayer networking | performance optimization | ui design | particle systems | ai behavior | version control | asset pipeline | game analytics,20
Embedded Systems Engineer,c | c++ | microcontrollers | rtos | electronics | debugging | linux | assembly | iot protocols | uart/spi/i2c | can bus | arm architecture | jtag debugging | device drivers | bootloaders | memory management | power optimization | signal processing | pcb design | safety standards,20
AR/VR Developer,unity | c# | xr development | arkit/arcore | 3d modeling | shader programming | spatial computing | physics simulation | openxr | unreal engine | haptics | gesture recognition | 3d audio | oculus sdk | hololens sdk | performance optimization | ux for xr | computer vision | animation | webxr,20
IoT Developer,python | c | microcontrollers | iot protocols | mqtt | networking | electronics | cloud | linux | security | edge computing | aws iot | azure iot | raspberry pi | arduino | firmware development | data analytics | api integration | device management | wireless protocols,20
Network Engineer,networking | tcp/ip | cisco | routing protocols | switching | firewalls | vpn | network security | linux | cloud networking | bgp | ospf | mpls | qos | network automation | python | wireshark | load balancing | dns | sd-wan,20
IT Support Specialist,windows | troubleshooting | networking | active directory | hardware | communication | office 365 | linux | powershell | ticketing systems | vpn | remote desktop | itil | customer service | backup recovery | printer management | mobile device management | email administration | security awareness | documentation,20
Network Security Engineer,network security | networking | firewalls | ids/ips | vpn | linux | security fundamentals | cryptography | python | cloud security | zero trust | nac | siem | pki | ddos mitigation | packet analysis | security policies | identity management | threat modeling | compliance,20
Fintech Developer,python | java | rest api | sql | payment systems | security | microservices | kafka | docker | cryptography | pci-dss | spring boot | redis | fraud detection | regulatory compliance | iso 8583 | swift messaging | open banking | real-time processing | api gateway,20
