candidate_id,candidate_skills,rank,career,model_probability,model_score,skill_match_percentage,final_score,matched_skills,missing_skills
C001,"Python, SQL, Machine Learning, Pandas, NumPy",1,Machine Learning Engineer,0.154013,15.4,20.0,16.78,machine learning | numpy | pandas | python,cloud | data pipelines | deep learning | docker | feature engineering | git | kubernetes | linux | mlops | model evaluation | pytorch | rest api | scikit-learn | spark | statistics | tensorflow
C001,"Python, SQL, Machine Learning, Pandas, NumPy",2,Data Scientist,0.095156,9.52,25.0,14.16,machine learning | numpy | pandas | python | sql,big data | data cleaning | data visualization | deep learning | feature engineering | hypothesis testing | jupyter notebook | matplotlib | model deployment | r | scikit-learn | seaborn | statistics | tableau | xgboost
C001,"Python, SQL, Machine Learning, Pandas, NumPy",3,Python Developer,0.086064,8.61,20.0,12.02,numpy | pandas | python | sql,asyncio | celery | cloud | django | docker | fastapi | flask | git | linux | postgresql | pydantic | pytest | redis | rest api | sqlalchemy | testing
C001,"Python, SQL, Machine Learning, Pandas, NumPy",4,Quantitative Analyst,0.063719,6.37,25.0,11.96,machine learning | numpy | pandas | python | sql,bloomberg terminal | derivatives | excel | financial modeling | mathematics | monte carlo simulation | optimization | portfolio management | probability theory | r | risk management | statistics | stochastic calculus | time series analysis | vba
C001,"Python, SQL, Machine Learning, Pandas, NumPy",5,Full Stack Machine Learning Engineer,0.0321,3.21,15.0,6.75,machine learning | python | sql,ci/cd | cloud | deep learning | docker | fastapi | feature engineering | git | kubernetes | mlops | model deployment | monitoring | postgresql | react | redis | rest api | testing | typescript
C002,"Python, SQL, Statistics, Machine Learning",1,R Developer,0.085589,8.56,20.0,11.99,machine learning | python | sql | statistics,bioinformatics | data analysis | data visualization | dplyr | etl | excel | ggplot2 | git | r | r markdown | reporting | reproducible research | shiny | statistical modeling | tidyverse | time series
C002,"Python, SQL, Statistics, Machine Learning",2,Data Scientist,0.055729,5.57,20.0,9.9,machine learning | python | sql | statistics,big data | data cleaning | data visualization | deep learning | feature engineering | hypothesis testing | jupyter notebook | matplotlib | model deployment | numpy | pandas | r | scikit-learn | seaborn | tableau | xgboost
C002,"Python, SQL, Statistics, Machine Learning",3,Quantitative Analyst,0.045372,4.54,20.0,9.18,machine learning | python | sql | statistics,bloomberg terminal | derivatives | excel | financial modeling | mathematics | monte carlo simulation | numpy | optimization | pandas | portfolio management | probability theory | r | risk management | stochastic calculus | time series analysis | vba
C002,"Python, SQL, Statistics, Machine Learning",4,Full Stack Machine Learning Engineer,0.0601,6.01,15.0,8.71,machine learning | python | sql,ci/cd | cloud | deep learning | docker | fastapi | feature engineering | git | kubernetes | mlops | model deployment | monitoring | postgresql | react | redis | rest api | testing | typescript
C002,"Python, SQL, Statistics, Machine Learning",5,Machine Learning Engineer,0.058577,5.86,15.0,8.6,machine learning | python | statistics,cloud | data pipelines | deep learning | docker | feature engineering | git | kubernetes | linux | mlops | model evaluation | numpy | pandas | pytorch | rest api | scikit-learn | spark | tensorflow
C003,"Verilog, VLSI, RTL Design, Digital Electronics",1,VLSI Engineer,0.508867,50.89,15.0,40.12,digital electronics | rtl design | verilog,asic design | cadence | clock tree synthesis | cmos | design verification | dft | floorplanning | fpga | logic synthesis | physical design | placement | routing | semiconductor design | static timing analysis | synopsys | systemverilog | vhdl
