career,skills,source
Java Developer,servlets | jsp | sql basics | jdbc | git | java | sql,job_dataset
AI Product Manager,sql | tensorflow | statistics | machine learning,global_ai_jobs_dataset
NLP Engineer,tensorflow | sql | deep learning | pytorch,global_ai_jobs_dataset
Prompt Engineer,pytorch | machine learning | python | statistics,global_ai_jobs_dataset
AI Product Manager,tensorflow | pytorch | data analysis | deep learning,global_ai_jobs_dataset
Machine Learning Engineer,pytorch | computer vision | nlp | machine learning,global_ai_jobs_dataset
.NET Developer,c# | asp.net core | sql server | entity framework | design patterns | solid principles | azure devops | .net core | asp.net mvc | solid,job_dataset
AI Product Manager,tensorflow | computer vision | nlp | data analysis,global_ai_jobs_dataset
MLOps Engineer,statistics | machine learning | data analysis | pytorch,global_ai_jobs_dataset
Data Analyst,python | computer vision | statistics | sql,global_ai_jobs_dataset
Blockchain Developer,java advanced | python advanced | solidity advanced | rust basics | ethereum multi-chain | hyperledger fabric | corda | smart contract security audits | gas optimization | cryptography advanced | scalable dapps | cross-chain solutions | cloud integration | leadership | project management | innovation management | blockchain architecture | smart contract optimization | multi-chain | cross-chain | cryptography | consensus algorithms | ethereum | hyperledger | security audits,job_dataset
Web Developer,html5 | css3 | javascript | vue.js basics | node.js basics | git | mysql basics | rest apis | responsive design | vue.js | node.js | mysql,job_dataset
Game Developer,c++ expert | c# expert | python advanced | java advanced | unity expert | unreal engine expert | advanced ai and gameplay | multiplayer networking | physics simulation | shader programming hlsl | glsl | graphics optimization | performance profiling | cross-platform deployment | testing frameworks | leadership | project management | team collaboration | c++ | c# | unity | unreal engine | game ai | shader programming | multiplayer | performance optimization,job_dataset
Site Reliability Engineer,python | go | java | bash | zsh scripting | linux | windows | cloud platforms expert | docker | kubernetes | ci | cd pipelines | iac (terraform | ansible | puppet | chef) | monitoring & logging | networking | automation | distributed systems design | security and compliance | problem-solving | leadership | collaboration | communication | aws | terraform | cd | monitoring | distributed systems,job_dataset
Computer Vision Engineer,machine learning | computer vision | python | sql,global_ai_jobs_dataset
Data Analyst,sql | statistics | data analysis | deep learning,global_ai_jobs_dataset
Game Developer,c++ basics | c# basics | java basics | python basics | unity basics | unreal engine basics | game mechanics fundamentals | physics basics | animation basics | directx basics | opengl basics | git basics | debugging basics | mobile | console platform awareness | communication | teamwork | adaptability | creativity | c++ | c# | unity | unreal engine | game design | game mechanics | graphics programming | git | debugging,job_dataset
Prompt Engineer,nlp | deep learning | python | pytorch,global_ai_jobs_dataset
Data Analyst,tensorflow | pytorch | machine learning | python,global_ai_jobs_dataset
Web Developer,html5 | css3 | javascript | angular basics | php basics | node.js basics | git | mysql basics | rest apis | angular | node.js | php | mysql,job_dataset
Data Engineer,python | sql | apache spark | apache kafka | apache airflow | data pipelines | cloud | data warehousing | dbt | docker | git | linux | snowflake | nosql | hadoop | etl | pandas | scala | redshift | bigquery,it_jobs_required_skills
Java Developer,maven | gradle | jenkins | ci | cd | docker | java,job_dataset
Site Reliability Engineer,python | go | java | bash | zsh scripting | linux administration expert | windows server administration | aws | azure | gcp advanced | docker | kubernetes expert | ci | cd pipelines expert (jenkins | bamboo | github actions) | iac (terraform | ansible | puppet | chef) | monitoring and logging (prometheus | grafana | elk stack | nagios | splunk) | networking (tcp | ip | dns | load balancing | cdn) | automation and scripting | distributed systems design | security and compliance knowledge | problem-solving | leadership | collaboration | communication | time management | linux | kubernetes | terraform | cd | prometheus | automation,job_dataset
AI Engineer,deep learning | data analysis | computer vision | sql,global_ai_jobs_dataset
NLP Engineer,sql | data analysis | pytorch | deep learning,global_ai_jobs_dataset
Java Developer,java | spring boot | sql | rest api | microservices | git | maven | junit | docker | design patterns | hibernate | kafka | cloud | kubernetes | multithreading | spring security | redis | gradle | jpa | reactive programming,it_jobs_required_skills
Data Engineer,python | java | postgresql | mongodb | aws s3 basics | azure basics | hadoop fundamentals | analytical thinking | sql | aws | hadoop | etl fundamentals,job_dataset
Site Reliability Engineer,python basics | bash | shell scripting | linux administration basics | windows fundamentals | cloud platform basics (aws | azure | gcp) | docker introduction | kubernetes introduction | monitoring basics (nagios | grafana) | networking basics (tcp | ip | dns) | ci | cd fundamentals | problem-solving | collaboration | communication | python | linux | docker | kubernetes | aws | cd | monitoring | networking | automation,job_dataset
AI Engineer,computer vision | sql | pytorch | machine learning,global_ai_jobs_dataset
AI Researcher,statistics | computer vision | deep learning | machine learning,global_ai_jobs_dataset
Machine Learning Engineer,deep learning | nlp | python | sql,global_ai_jobs_dataset
.NET Developer,c# | .net core | asp.net mvc | rest apis | docker | azure devops | testing with nunit | nunit,job_dataset
Web Developer,html5 | css3 | javascript | react basics | php basics | node.js basics | git | mongodb basics | ajax | ui | ux fundamentals | react | node.js | php | mongodb,job_dataset
Data Engineer,python | sql | scala | snowflake | bigquery | hadoop | airflow | kafka | data governance,job_dataset
Computer Vision Engineer,statistics | pytorch | deep learning | computer vision,global_ai_jobs_dataset
AI Engineer,machine learning | nlp | computer vision | deep learning,global_ai_jobs_dataset
AI Engineer,sql | statistics | data analysis | machine learning,global_ai_jobs_dataset
Web Developer,html5 | css3 | javascript | angular basics | react basics | node.js basics | git | mysql basics | rest apis | ajax | react | angular | node.js,job_dataset
Blockchain Developer,java basics | python basics | c++ basics | solidity basics | ethereum basics | hyperledger basics | corda basics | smart contracts | cryptography fundamentals | dapps basics | git | truffle | remix ide | problem-solving | teamwork | adaptability | blockchain | ethereum | solidity | cryptography | dapps | hyperledger | corda,job_dataset
Blockchain Developer,java advanced | python advanced | solidity advanced | rust basics | ethereum multi-chain | hyperledger advanced | corda | smart contract optimization and security audits | cryptography expert | scalable dapps | cross-chain | cloud integration | leadership | project management | team collaboration | blockchain architecture | smart contract optimization | multi-chain | cryptography | consensus algorithms | ethereum | hyperledger | security audits,job_dataset
Ethical Hacker,python basics | bash scripting basics | networking fundamentals | linux (kali | parrot os) basics | windows security basics | introduction to penetration testing | basic vulnerability assessment | web application security basics | familiarity with nmap and wireshark | basic cryptography understanding | problem-solving | communication | ethical awareness | ethical hacking | penetration testing | network security | python | linux | windows security | nmap | wireshark | cryptography | web security,job_dataset
AI Engineer,tensorflow | deep learning | computer vision | statistics,global_ai_jobs_dataset
Prompt Engineer,statistics | tensorflow | deep learning | pytorch,global_ai_jobs_dataset
Computer Vision Engineer,computer vision | deep learning | statistics | data analysis,global_ai_jobs_dataset
Data Engineer,python | java basics | sql | mongodb | spark fundamentals | azure basics | etl basics | etl | spark basics | azure,job_dataset
Java Developer,spring basics | hibernate basics | junit | testng | java | spring | hibernate,job_dataset
AI Product Manager,machine learning | computer vision | sql | tensorflow,global_ai_jobs_dataset
.NET Developer,c# | asp.net | mvc | entity framework basics | sql server | html | css | javascript basics | .net | asp.net mvc | entity framework,job_dataset
AI Product Manager,python | computer vision | tensorflow | statistics,global_ai_jobs_dataset
Web Developer,javascript | angular | node.js | express.js | django | sql | redis | aws | docker | ci | cd | testing frameworks,job_dataset
NLP Engineer,tensorflow | deep learning | computer vision | machine learning,global_ai_jobs_dataset
Java Developer,core java | oop | database basics | git | team collaboration | java | teamwork,job_dataset
Game Developer,c++ expert | c# expert | python advanced | java advanced | unity expert | unreal engine expert | godot basics | ai and gameplay systems | multiplayer networking | physics simulation | shader programming | graphics optimization | cross-platform deployment | testing | debugging | leadership | team collaboration | project management | c++ | c# | unity | unreal engine | game ai | multiplayer | performance optimization,job_dataset
AI Researcher,data analysis | tensorflow | sql | pytorch,global_ai_jobs_dataset
Site Reliability Engineer,python | go | java | bash | zsh scripting | linux | windows administration expert | cloud platforms expert | docker | kubernetes expert | ci | cd pipelines expert | iac (terraform | ansible | puppet | chef) | monitoring & logging expert (prometheus | grafana | elk | nagios | splunk) | networking (tcp | ip | dns | load balancing | cdn) | automation | distributed systems architecture | security and compliance | problem-solving | leadership | collaboration | communication | kubernetes | aws | terraform | cd | monitoring | distributed systems,job_dataset
NLP Engineer,deep learning | computer vision | machine learning | tensorflow,global_ai_jobs_dataset
.NET Developer,c# | vb.net basics | .net framework | .net core fundamentals | asp.net | mvc | html | css | javascript basics | sql server | entity framework basics | linq | visual studio | git | unit testing basics | .net | asp.net mvc | entity framework | unit testing,job_dataset
Computer Vision Engineer,computer vision | data analysis | nlp | tensorflow,global_ai_jobs_dataset
