O*NET-SOC Code,Career,Essential_Skills,Software_Skills,Job_Description,Education_Level,Experience_Level,Realistic,Investigative,Artistic,Social,Enterprising,Conventional,Combined_Text
11-1011.00,Chief Executives,"Critical Thinking, Speaking, Reading Comprehension, Writing, Active Listening, Monitoring, Active Learning, Mathematics, Learning Strategies, Science","Adobe Acrobat, AdSense Tracker, Atlassian JIRA, Blackbaud The Raiser's Edge, ComputerEase construction accounting software, Database reporting software, Databox, Email software, Exact Software Macola ES Labor Performance, Extensible markup language XML, Fund accounting software, Graphic presentation software, Halogen e360, Halogen ePraisal, HCSS HeavyBid, HCSS HeavyJob, Human resource information system (HRIS), Infor SSA Human Capital Management, Intuit QuickBooks, Listserv software","Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8.333333333333334,9.090909090909092,1.26,3.05,2.16,3.54,6.96,4.97,"Career: Chief Executives Skills: Critical Thinking, Speaking, Reading Comprehension, Writing, Active Listening, Monitoring, Active Learning, Mathematics, Learning Strategies, Science Software: Adobe Acrobat, AdSense Tracker, Atlassian JIRA, Blackbaud The Raiser's Edge, ComputerEase construction accounting software, Database reporting software, Databox, Email software, Exact Software Macola ES Labor Performance, Extensible markup language XML, Fund accounting software, Graphic presentation software, Halogen e360, Halogen ePraisal, HCSS HeavyBid, HCSS HeavyJob, Human resource information system (HRIS), Infor SSA Human Capital Management, Intuit QuickBooks, Listserv software Description: Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers."
11-1011.03,Chief Sustainability Officers,"Writing, Critical Thinking, Reading Comprehension, Active Listening, Speaking, Active Learning, Monitoring, Learning Strategies, Mathematics, Science","Adobe Acrobat, Adobe Photoshop, Email software, Facebook, Management information systems MIS, Microsoft Access, Microsoft Dynamics GP, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SharePoint, Microsoft Word, Salesforce software, SAP software, Scheduling software, Structure query language SQL, Tableau, Teleconferencing software","Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",8.333333333333332,9.090000000000002,2.04,4.78,2.48,3.55,6.68,4.49,"Career: Chief Sustainability Officers Skills: Writing, Critical Thinking, Reading Comprehension, Active Listening, Speaking, Active Learning, Monitoring, Learning Strategies, Mathematics, Science Software: Adobe Acrobat, Adobe Photoshop, Email software, Facebook, Management information systems MIS, Microsoft Access, Microsoft Dynamics GP, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SharePoint, Microsoft Word, Salesforce software, SAP software, Scheduling software, Structure query language SQL, Tableau, Teleconferencing software Description: Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy."
11-1021.00,General and Operations Managers,"Reading Comprehension, Active Listening, Speaking, Monitoring, Critical Thinking, Active Learning, Writing, Learning Strategies, Mathematics, Science","Act!, ActionWare, Adobe Acrobat, Adobe Creative Cloud software, Adobe Photoshop, ADP Workforce Now, Airtable, Amazon Web Services AWS software, AMG Teleran SalesInSync, Apache Hadoop, Apple Final Cut Pro, Apple Keynote, Apple macOS, Atlassian Confluence, Atlassian JIRA, Autodesk AutoCAD, Avidian Technologies Prophet, Blackbaud The Raiser's Edge, Blackboard software, Citrix cloud computing software","Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",8.333333333333334,9.091818181818182,2.2,2.37,1.29,3.38,7.0,5.34,"Career: General and Operations Managers Skills: Reading Comprehension, Active Listening, Speaking, Monitoring, Critical Thinking, Active Learning, Writing, Learning Strategies, Mathematics, Science Software: Act!, ActionWare, Adobe Acrobat, Adobe Creative Cloud software, Adobe Photoshop, ADP Workforce Now, Airtable, Amazon Web Services AWS software, AMG Teleran SalesInSync, Apache Hadoop, Apple Final Cut Pro, Apple Keynote, Apple macOS, Atlassian Confluence, Atlassian JIRA, Autodesk AutoCAD, Avidian Technologies Prophet, Blackbaud The Raiser's Edge, Blackboard software, Citrix cloud computing software Description: Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors."
11-2011.00,Advertising and Promotions Managers,"Active Listening, Speaking, Critical Thinking, Reading Comprehension, Writing, Active Learning, Monitoring, Mathematics, Learning Strategies, Science","Actuate BIRT, Adobe Acrobat, Adobe Acrobat Reader, Adobe After Effects, Adobe Creative Cloud software, Adobe Dreamweaver, Adobe Experience Manager (AEM), Adobe Illustrator, Adobe InDesign, Adobe PageMaker, Adobe Photoshop, Adobe Premiere Pro, AdRelevance, Apple Final Cut Pro, Apple iMovie, Avid Media Composer, Brainworks, Business analysis software, Constant Contact, Data visualization software","Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",8.333333333333334,9.090909090909092,1.0,1.69,3.87,3.14,7.0,4.43,"Career: Advertising and Promotions Managers Skills: Active Listening, Speaking, Critical Thinking, Reading Comprehension, Writing, Active Learning, Monitoring, Mathematics, Learning Strategies, Science Software: Actuate BIRT, Adobe Acrobat, Adobe Acrobat Reader, Adobe After Effects, Adobe Creative Cloud software, Adobe Dreamweaver, Adobe Experience Manager (AEM), Adobe Illustrator, Adobe InDesign, Adobe PageMaker, Adobe Photoshop, Adobe Premiere Pro, AdRelevance, Apple Final Cut Pro, Apple iMovie, Avid Media Composer, Brainworks, Business analysis software, Constant Contact, Data visualization software Description: Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis."
11-2021.00,Marketing Managers,"Reading Comprehension, Active Listening, Speaking, Critical Thinking, Active Learning, Monitoring, Writing, Learning Strategies, Mathematics, Science","Adobe Acrobat, Adobe Acrobat Reader, Adobe ActionScript, Adobe After Effects, Adobe Creative Cloud software, Adobe Dreamweaver, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, AdSense Tracker, AEC Software FastTrack Schedule, Airtable, Amazon Redshift, Amazon Web Services AWS software, Apache Cassandra, Apache Hadoop, Apache Hive, Apache Pig, Apache Solr, Apple Final Cut Pro","Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",8.333333333333334,9.092727272727272,1.0,2.9,2.45,2.82,7.0,4.7,"Career: Marketing Managers Skills: Reading Comprehension, Active Listening, Speaking, Critical Thinking, Active Learning, Monitoring, Writing, Learning Strategies, Mathematics, Science Software: Adobe Acrobat, Adobe Acrobat Reader, Adobe ActionScript, Adobe After Effects, Adobe Creative Cloud software, Adobe Dreamweaver, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, AdSense Tracker, AEC Software FastTrack Schedule, Airtable, Amazon Redshift, Amazon Web Services AWS software, Apache Cassandra, Apache Hadoop, Apache Hive, Apache Pig, Apache Solr, Apple Final Cut Pro Description: Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services."
11-2022.00,Sales Managers,"Active Listening, Speaking, Reading Comprehension, Critical Thinking, Monitoring, Active Learning, Writing, Learning Strategies, Mathematics, Science","Act!, Adobe Acrobat, Adobe ActionScript, Adobe Creative Cloud software, Airtable, Apple Keynote, Avidian Technologies Prophet, Bentley MicroStation, Blackbaud The Raiser's Edge, Contact management software, Database software, Delphi Discovery, Delphi Technology, Dropbox, Eclipse IDE, Eden Sales Manager, Eko, Facebook, FileMaker Pro, Geographic information system GIS software","Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",8.333333333333334,9.090909090909092,1.49,1.67,1.36,3.37,7.0,5.53,"Career: Sales Managers Skills: Active Listening, Speaking, Reading Comprehension, Critical Thinking, Monitoring, Active Learning, Writing, Learning Strategies, Mathematics, Science Software: Act!, Adobe Acrobat, Adobe ActionScript, Adobe Creative Cloud software, Airtable, Apple Keynote, Avidian Technologies Prophet, Bentley MicroStation, Blackbaud The Raiser's Edge, Contact management software, Database software, Delphi Discovery, Delphi Technology, Dropbox, Eclipse IDE, Eden Sales Manager, Eko, Facebook, FileMaker Pro, Geographic information system GIS software Description: Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers."
11-2033.00,Fundraising Managers,"Speaking, Critical Thinking, Active Listening, Reading Comprehension, Writing, Active Learning, Monitoring, Mathematics, Learning Strategies, Science","Adobe Acrobat, Adobe After Effects, Adobe Creative Cloud software, Adobe Distiller, Adobe Dreamweaver, Adobe Illustrator, Adobe InDesign, Adobe PageMaker, Adobe Photoshop, Airtable, Apple Final Cut Pro, Apple iDVD, Apple iMovie, Blackbaud eTapestry, Blackbaud The Raiser's Edge, Corel WordPerfect Office Suite, Drupal, Facebook, FileMaker Pro, Flipgrid","Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",8.333333333333334,9.090909090909092,1.0,2.41,2.61,3.76,7.0,4.82,"Career: Fundraising Managers Skills: Speaking, Critical Thinking, Active Listening, Reading Comprehension, Writing, Active Learning, Monitoring, Mathematics, Learning Strategies, Science Software: Adobe Acrobat, Adobe After Effects, Adobe Creative Cloud software, Adobe Distiller, Adobe Dreamweaver, Adobe Illustrator, Adobe InDesign, Adobe PageMaker, Adobe Photoshop, Airtable, Apple Final Cut Pro, Apple iDVD, Apple iMovie, Blackbaud eTapestry, Blackbaud The Raiser's Edge, Corel WordPerfect Office Suite, Drupal, Facebook, FileMaker Pro, Flipgrid Description: Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations."
11-3012.00,Administrative Services Managers,"Reading Comprehension, Active Listening, Speaking, Writing, Critical Thinking, Monitoring, Active Learning, Learning Strategies, Mathematics, Science","Adobe Acrobat, Adobe PageMaker, ADP Enterprise HR, ADP Workforce Now, Atlassian JIRA, Autodesk AutoCAD, Blackbaud The Raiser's Edge, Database software, Delphi Technology, Email software, FileMaker Pro, Fund accounting software, Google Docs, Google Drive, GroupMe, Human resource management software HRMS, IBM Notes, IBM Power Systems software, IBM SPSS Statistics, Intuit QuickBooks","Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",8.334166666666667,9.08909090909091,1.42,2.12,1.11,3.74,6.47,6.27,"Career: Administrative Services Managers Skills: Reading Comprehension, Active Listening, Speaking, Writing, Critical Thinking, Monitoring, Active Learning, Learning Strategies, Mathematics, Science Software: Adobe Acrobat, Adobe PageMaker, ADP Enterprise HR, ADP Workforce Now, Atlassian JIRA, Autodesk AutoCAD, Blackbaud The Raiser's Edge, Database software, Delphi Technology, Email software, FileMaker Pro, Fund accounting software, Google Docs, Google Drive, GroupMe, Human resource management software HRMS, IBM Notes, IBM Power Systems software, IBM SPSS Statistics, Intuit QuickBooks Description: Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services."
11-3013.00,Facilities Managers,"Speaking, Reading Comprehension, Active Listening, Critical Thinking, Monitoring, Writing, Active Learning, Learning Strategies, Mathematics, Science","Adobe Acrobat, Adobe PageMaker, ADP Enterprise HR, ADP Workforce Now, Autodesk AutoCAD, Autodesk Revit, Blackbaud The Raiser's Edge, Delphi Technology, Email software, FileMaker Pro, Fund accounting software, Google Docs, Google Drive, Google Workspace software, GroupMe, Human resource management software HRMS, IBM Maximo Asset Management, IBM Notes, IBM Power Systems software, Intuit QuickBooks","Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.",8.334166666666667,9.09,4.15,2.6,1.61,3.58,5.35,5.35,"Career: Facilities Managers Skills: Speaking, Reading Comprehension, Active Listening, Critical Thinking, Monitoring, Writing, Active Learning, Learning Strategies, Mathematics, Science Software: Adobe Acrobat, Adobe PageMaker, ADP Enterprise HR, ADP Workforce Now, Autodesk AutoCAD, Autodesk Revit, Blackbaud The Raiser's Edge, Delphi Technology, Email software, FileMaker Pro, Fund accounting software, Google Docs, Google Drive, Google Workspace software, GroupMe, Human resource management software HRMS, IBM Maximo Asset Management, IBM Notes, IBM Power Systems software, Intuit QuickBooks Description: Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus."
11-3013.01,Security Managers,"Critical Thinking, Reading Comprehension, Active Listening, Speaking, Monitoring, Writing, Active Learning, Learning Strategies, Mathematics, Science","Alarm system software, Amazon Web Services AWS software, Corel WordPerfect Office Suite, Emergency notification system software, Facebook, FieldSoft AIMSonScene, Firewall software, Graphics software, Human resources management system HRMS, Incident command system ICS software, Inventory tracking software, Maintenance management software, Mapping software, McAfee, Microsoft Access, Microsoft Azure software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint","Direct an organization's security functions, including physical security and safety of employees and facilities.",8.333333333333334,9.090909090909092,3.39,3.69,1.3,2.75,5.63,5.43,"Career: Security Managers Skills: Critical Thinking, Reading Comprehension, Active Listening, Speaking, Monitoring, Writing, Active Learning, Learning Strategies, Mathematics, Science Software: Alarm system software, Amazon Web Services AWS software, Corel WordPerfect Office Suite, Emergency notification system software, Facebook, FieldSoft AIMSonScene, Firewall software, Graphics software, Human resources management system HRMS, Incident command system ICS software, Inventory tracking software, Maintenance management software, Mapping software, McAfee, Microsoft Access, Microsoft Azure software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint Description: Direct an organization's security functions, including physical security and safety of employees and facilities."
