career,skills
Big Data Engineer,etl | apache kafka | flink | cloud | nosql | distributed systems | sql | scala | linux | data lake | databricks | hive | data warehousing | apache spark | hbase | yarn
COBOL Developer,racf | rehosting | tso/ispf | legacy migration | performance tuning | file handling | vsam | batch processing | jcl | db2 | debugging | cobol | testing | z/os | copybooks
VLSI Engineer,floorplanning | routing | asic design | systemverilog | physical design | vhdl | verilog | cadence | dft | digital electronics | fpga | placement | synopsys | semiconductor design | clock tree synthesis | static timing analysis | rtl design | logic synthesis
MLOps Engineer,mlflow | dvc | git | model monitoring | prometheus | bash | machine learning | kubernetes | feature stores | kubeflow | terraform | bentoml | apache airflow | python | ci/cd | linux | grafana
Database Administrator,security | redis | partitioning | oracle | indexing | cloud | mongodb | bash | data modeling | python | linux | database design | performance tuning | sql | postgresql
Quantitative Analyst,vba | monte carlo simulation | optimization | pandas | mathematics | time series analysis | statistics | excel | risk management | bloomberg terminal | numpy | portfolio management | r | financial modeling | stochastic calculus | machine learning
Automation Engineer,git | java | ci/cd | bash | linux | robot framework | cucumber | test frameworks | agile | ansible | python | performance testing | testing | selenium | bdd | docker | monitoring
Product Manager,jira | market research | kpis | stakeholder management | communication | prioritization | wireframing | sprint planning | user research | customer interviews | okrs | a/b testing | roadmap planning | go-to-market strategy | data analysis
GraphQL Developer,testing | graphql | node.js | apollo | docker | dataloader | resolvers | subscriptions | react | authentication | mongodb | git | javascript | rest api | federation | typescript | postgresql
Prompt Engineer,workflow automation | python | a/b testing | bias mitigation | llms | few-shot learning | langchain | output parsing | prompt engineering | model selection | api integration | nlp | chain-of-thought | fine tuning | rag | documentation | communication | evaluation frameworks
Security Engineer,security automation | docker | security fundamentals | python | zero trust | siem | kubernetes | penetration testing | network security | compliance | threat modeling | git | bash | iam | cloud security
Swift Developer,app store | accessibility | ios development | macos development | instruments | cloudkit | core data | testing | xcode | in-app purchase | git | swift | concurrency | push notifications | package manager | objective-c
NLP Engineer,tokenization | python | word embeddings | bert | transformers | machine learning | hugging face | spacy | nlp | onnx | named entity recognition | nltk | statistics | deep learning | llms
Network Security Engineer,siem | ddos mitigation | cryptography | identity management | firewalls | security policies | threat modeling | linux | nac | cloud security | vpn | ids/ips | network security | packet analysis | security fundamentals | pki
Network Security Engineer,network security | security policies | pki | ddos mitigation | cryptography | packet analysis | threat modeling | networking | linux | vpn | compliance | python | nac | zero trust | security fundamentals | ids/ips
Machine Learning Engineer,spark | pandas | git | model evaluation | rest api | feature engineering | tensorflow | data pipelines | machine learning | docker | mlops | python | deep learning | pytorch | linux | kubernetes | cloud | scikit-learn
Fintech Developer,kafka | pci-dss | docker | spring boot | iso 8583 | java | api gateway | open banking | payment systems | swift messaging | fraud detection | rest api | real-time processing | cryptography | python
Embedded Systems Engineer,uart/spi/i2c | memory management | linux | electronics | rtos | jtag debugging | pcb design | arm architecture | debugging | assembly | c | safety standards | microcontrollers | bootloaders | iot protocols | can bus | c++
IT Auditor,it audit | business processes | stakeholder management | change management | data analysis | itil | sql | vulnerability assessment | risk management | security fundamentals | documentation | internal controls | communication | sox | cloud
Backend Developer,graphql | sql | websockets | authentication | spring boot | git | message queues | node.js | java | rest api | microservices | postgresql | docker | python | caching | mongodb | redis | kafka
PHP Developer,rest api | css | php | vue.js | blade templates | laravel | docker | mysql | wordpress | queue jobs | phpunit | redis | caching | html | eloquent orm
Product Designer,figma | communication | design sprints | user journey mapping | sketch | prototyping | user flows | accessibility | data analysis | invision | competitive analysis | ui design | html/css | metrics | a/b testing | product strategy
Automation Engineer,agile | python | robot framework | bash | reporting | java | ci/cd | test frameworks | docker | jenkins | selenium | cucumber | monitoring | ansible | rest api testing | git | performance testing | bdd
Blockchain Developer,cross-chain protocols | defi | ethers.js | solidity | security auditing | web3.js | layer 2 solutions | cryptography | javascript | hardhat | truffle | ethereum | tokenomics | ipfs | rust
CTO,technology roadmap | r&d management | innovation | cloud | agile | technical leadership | system architecture | metrics | team building | engineering culture | mergers & acquisitions | strategic planning | communication | security | regulatory compliance | vendor management | budget management
Cybersecurity Analyst,ids/ips | security fundamentals | cloud security | incident response | log analysis | malware analysis | vulnerability assessment | cryptography | siem | forensics | python | threat intelligence | security auditing | linux | compliance | owasp | risk assessment
Scrum Master,team building | conflict resolution | jira | facilitation | kanban | impediment removal | reporting | agile | servant leadership | coaching | communication | retrospectives | sprint planning | scrum | leadership
Solutions Engineer,troubleshooting | customer success | docker | rest api | solution architecture | use case development | scripting | security | integration | cloud | crm | technical sales | pre-sales | communication | sql | stakeholder management
Flutter Developer,dart | internationalization | platform channels | sqlite | clean architecture | ui/ux design | flavors | firebase | riverpod | git | responsive layouts | testing | push notifications | flutter | rest api | state management | app store deployment | ci/cd
Data Analyst,power query | power bi | etl | storytelling with data | data visualization | communication | tableau | business acumen | excel | r | dax | google analytics | pivot tables | python | looker | sql | data cleaning | google sheets
AR/VR Developer,animation | unity | arkit/arcore | oculus sdk | computer vision | haptics | performance optimization | xr development | physics simulation | shader programming | ux for xr | 3d modeling | c# | 3d audio | hololens sdk | gesture recognition | webxr
SOC Analyst,networking | wireshark | osint | playbook development | forensics | communication | cloud security | threat intelligence | security fundamentals | siem | vulnerability scanning | edr | python | linux | log analysis | firewalls | malware analysis
.NET Developer,design patterns | kubernetes | linq | microservices | c# | unit testing | entity framework | signalr | blazor | dependency injection | wpf | .net | ci/cd | azure | grpc | asp.net
Helpdesk Technician,active directory | hardware | security awareness | escalation management | email administration | user training | networking | itil | mobile device management | ticketing systems | remote desktop | troubleshooting | vpn | customer service | printer support
Product Manager,roadmap planning | wireframing | product strategy | user research | sprint planning | communication | kpis | okrs | market research | prioritization | a/b testing | data analysis | customer interviews | jira | competitive analysis | sql
ERP Developer,business processes | java | sap | rest api | change management | user training | odata | testing | documentation | bapi/rfc | sql | sap fiori | integration | sap modules | smart forms | alv reports | cloud | abap
