career,skills,source
AI Product Manager,deep learning | pytorch | tensorflow | nlp,global_ai_jobs_dataset
Machine Learning Engineer,data analysis | machine learning | tensorflow | python,global_ai_jobs_dataset
Machine Learning Engineer,nlp | sql | pytorch | computer vision,global_ai_jobs_dataset
Prompt Engineer,python | computer vision | sql | pytorch,global_ai_jobs_dataset
NLP Engineer,pytorch | sql | nlp | python,global_ai_jobs_dataset
AI Product Manager,statistics | python | computer vision | machine learning,global_ai_jobs_dataset
AI Product Manager,statistics | sql | python | nlp,global_ai_jobs_dataset
AI Product Manager,data analysis | computer vision | machine learning | python,global_ai_jobs_dataset
Data Scientist,sql | tensorflow | data analysis | computer vision,global_ai_jobs_dataset
Site Reliability Engineer,python basics | bash scripting basics | linux administration fundamentals | windows os basics | introduction to cloud platforms | containerization basics (docker) | kubernetes basics | basic monitoring (nagios | grafana) | networking fundamentals | problem-solving | collaboration | communication | adaptability | python | bash | linux | docker | kubernetes | aws | monitoring | ci | cd | networking | automation,job_dataset
AI Engineer,sql | pytorch | data analysis | tensorflow,global_ai_jobs_dataset
Prompt Engineer,pytorch | sql | machine learning | nlp,global_ai_jobs_dataset
NLP Engineer,computer vision | statistics | deep learning | python,global_ai_jobs_dataset
Data Analyst,machine learning | pytorch | statistics | computer vision,global_ai_jobs_dataset
Data Analyst,sql | tensorflow | computer vision | pytorch,global_ai_jobs_dataset
Machine Learning Engineer,nlp | deep learning | python | sql,global_ai_jobs_dataset
AI Researcher,machine learning | deep learning | tensorflow | sql,global_ai_jobs_dataset
AI Engineer,deep learning | machine learning | statistics | computer vision,global_ai_jobs_dataset
NLP Engineer,statistics | tensorflow | python | deep learning,global_ai_jobs_dataset
MLOps Engineer,python | nlp | data analysis | machine learning,global_ai_jobs_dataset
Machine Learning Engineer,tensorflow | nlp | machine learning | computer vision,global_ai_jobs_dataset
Data Scientist,data analysis | python | computer vision | tensorflow,global_ai_jobs_dataset
Prompt Engineer,computer vision | machine learning | python | pytorch,global_ai_jobs_dataset
Machine Learning Engineer,data analysis | computer vision | statistics | tensorflow,global_ai_jobs_dataset
Machine Learning Engineer,pytorch | statistics | nlp | python,global_ai_jobs_dataset
Data Engineer,python | scala | java | sql optimization | apache spark | kafka | airflow | aws s3 | redshift | sql | spark | etl | aws | data warehousing,job_dataset
AI Engineer,deep learning | tensorflow | pytorch | sql,global_ai_jobs_dataset
AI Engineer,data analysis | pytorch | tensorflow | computer vision,global_ai_jobs_dataset
AI Product Manager,nlp | machine learning | computer vision | deep learning,global_ai_jobs_dataset
Prompt Engineer,deep learning | data analysis | sql | machine learning,global_ai_jobs_dataset
Machine Learning Engineer,pytorch | machine learning | deep learning | nlp,global_ai_jobs_dataset
Machine Learning Engineer,computer vision | pytorch | data analysis | sql,global_ai_jobs_dataset
Site Reliability Engineer,python advanced | go programming | java scripting | bash | zsh scripting | linux administration expert | windows administration | cloud platforms expert (aws | azure | gcp) | docker | kubernetes advanced | ci | cd pipelines (jenkins | bamboo | github actions) | infrastructure as code (terraform | ansible | puppet | chef) | monitoring and logging (prometheus | grafana | elk stack | nagios | splunk) | networking (tcp | ip | dns | load balancing) | automation scripting | distributed systems design | security and compliance basics | problem-solving | collaboration | communication | python | go | linux | kubernetes | aws | terraform | cd | prometheus | monitoring,job_dataset
Prompt Engineer,data analysis | machine learning | statistics | sql,global_ai_jobs_dataset
Data Engineer,python | sql | apache spark | apache kafka | apache airflow | data pipelines | cloud | data warehousing | dbt | docker | git | linux | snowflake | nosql | hadoop | etl | pandas | scala | redshift | bigquery,it_jobs_required_skills
Data Scientist,sql | machine learning | python | statistics,global_ai_jobs_dataset
Prompt Engineer,sql | python | deep learning | data analysis,global_ai_jobs_dataset
Computer Vision Engineer,python | machine learning | nlp | sql,global_ai_jobs_dataset
AI Engineer,python | machine learning | data analysis | computer vision,global_ai_jobs_dataset
Computer Vision Engineer,pytorch | data analysis | sql | computer vision,global_ai_jobs_dataset
Blockchain Developer,java basics | python basics | c++ basics | solidity basics | ethereum | hyperledger basics | corda basics | smart contract development | cryptography basics | dapps basics | git basics | truffle | remix ide | problem-solving | teamwork | adaptability | blockchain | solidity | smart contracts | cryptography | dapps | hyperledger | corda,job_dataset
Data Analyst,computer vision | statistics | pytorch | nlp,global_ai_jobs_dataset
Ethical Hacker,python | c | c++ | javascript | bash | powershell scripting | network and web security expert | linux and windows os expert | penetration testing | vulnerability assessment | metasploit | burp suite | nmap | sqlmap | wireshark | cryptography | ssl | tls | malware analysis | reverse engineering | compliance frameworks | leadership | project management | analytical skills | ethical hacking | network security | linux | windows security,job_dataset
Prompt Engineer,data analysis | deep learning | sql | machine learning,global_ai_jobs_dataset
AI Product Manager,statistics | python | deep learning | nlp,global_ai_jobs_dataset
AI Engineer,machine learning | computer vision | python | data analysis,global_ai_jobs_dataset
Machine Learning Engineer,statistics | tensorflow | machine learning | pytorch,global_ai_jobs_dataset
Site Reliability Engineer,python | go | java | bash | zsh scripting | linux expert | windows server | cloud expert (aws | azure | gcp) | docker | kubernetes | ci | cd pipelines (jenkins | github actions) | iac (terraform | ansible | puppet) | monitoring & logging (prometheus | grafana | elk | nagios | splunk) | networking (tcp | ip | dns | cdn | load balancing) | automation | distributed systems | security compliance | problem-solving | leadership | collaboration | communication | linux | aws | terraform | cd | monitoring,job_dataset
AI Engineer,statistics | tensorflow | nlp | sql,global_ai_jobs_dataset
Web Developer,javascript | typescript | react | node.js | express.js | sql | mongodb | docker | kubernetes | graphql | rest apis,job_dataset
AI Engineer,statistics | nlp | sql | machine learning,global_ai_jobs_dataset
AI Product Manager,machine learning | computer vision | pytorch | sql,global_ai_jobs_dataset
Data Scientist,data analysis | machine learning | pytorch | sql,global_ai_jobs_dataset
AI Researcher,python | computer vision | tensorflow | nlp,global_ai_jobs_dataset
Data Scientist,nlp | python | deep learning | data analysis,global_ai_jobs_dataset
AI Researcher,data analysis | nlp | sql | statistics,global_ai_jobs_dataset
MLOps Engineer,statistics | computer vision | python | nlp,global_ai_jobs_dataset
.NET Developer,c# | f# | .net core | asp.net mvc | microservices | docker | kubernetes | azure,job_dataset
Machine Learning Engineer,tensorflow | sql | computer vision | data analysis,global_ai_jobs_dataset
Java Developer,advanced sql | database tuning | mongodb | cassandra | performance optimization | java | sql | nosql | performance tuning,job_dataset
MLOps Engineer,tensorflow | sql | nlp | machine learning,global_ai_jobs_dataset
Data Scientist,sql | tensorflow | computer vision | machine learning,global_ai_jobs_dataset
NLP Engineer,data analysis | python | deep learning | sql,global_ai_jobs_dataset
